Type,Age,Breed1,Gender,Color1,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,VideoAmt,PhotoAmt
2,2,266,2,2,2,1,2,1,1,1,1,0,41326,0,11
1,24,109,1,4,2,3,1,1,1,1,1,0,41326,0,7
1,24,26,1,2,2,2,1,1,3,1,1,0,41401,0,3
1,24,307,2,1,2,1,1,3,2,1,1,0,41326,0,1
1,108,20,1,1,2,2,1,2,2,1,1,0,41401,0,4
1,1,307,3,2,2,2,2,2,2,1,3,0,41326,0,4
1,3,307,1,2,2,2,2,1,2,1,1,0,41326,0,5
2,1,266,2,1,2,1,3,3,3,1,2,0,41401,0,3
1,2,307,2,1,2,1,2,2,2,1,1,20,41327,0,1
2,9,266,2,1,2,1,1,1,2,1,1,0,41326,0,4
1,4,307,2,1,2,1,2,1,2,1,1,0,41326,0,5
2,2,292,2,7,1,3,1,1,2,1,1,0,41326,0,0
2,80,299,2,1,2,1,1,2,1,1,1,50,41401,0,2
1,5,307,2,1,2,1,1,1,1,1,2,0,41326,0,4
2,7,266,1,1,2,1,2,2,2,1,2,0,41401,0,5
1,2,307,1,1,2,2,1,1,2,1,1,0,41326,0,3
1,1,307,2,1,2,2,2,2,2,1,1,0,41401,0,1
2,2,266,2,2,2,1,2,2,2,1,1,0,41326,0,4
2,6,266,1,1,2,1,2,1,2,1,1,0,41326,0,12
1,9,182,2,1,2,1,1,1,2,1,1,500,41326,0,1
1,72,141,1,5,3,1,1,1,2,1,1,0,41326,0,3
1,24,72,2,5,2,1,1,1,1,1,1,0,41330,0,4
2,9,266,1,1,2,1,2,1,2,1,1,0,41401,1,9
1,5,307,2,5,2,2,2,2,2,1,1,0,41326,0,3
2,36,266,3,2,2,1,2,2,2,2,3,0,41326,0,5
2,3,266,1,4,2,1,2,1,2,1,1,50,41401,0,1
2,2,266,1,1,1,1,3,1,3,1,7,0,41326,2,14
2,1,266,3,1,1,1,2,1,2,1,3,0,41326,0,9
2,3,266,1,1,2,1,1,1,2,1,1,120,41326,0,4
2,1,265,1,1,2,2,2,2,2,1,1,0,41401,0,5
1,3,307,1,1,2,1,1,1,2,1,1,0,41326,0,3
1,8,207,2,6,2,3,1,1,2,1,1,0,41401,0,3
1,2,307,3,1,2,2,2,3,2,1,6,0,41327,0,5
1,14,307,2,1,2,1,1,1,2,1,1,0,41401,0,1
1,2,307,2,2,2,1,2,1,2,1,1,0,41401,0,1
2,2,266,1,2,2,1,2,1,2,1,1,0,41326,0,10
2,6,266,2,2,2,1,2,2,2,1,1,0,41326,0,1
1,3,307,2,1,2,1,3,3,2,1,1,0,41326,0,9
2,2,266,1,1,1,1,3,3,3,1,1,0,41401,0,2
2,72,266,2,1,3,1,1,1,1,1,1,0,41326,0,1
1,1,307,1,2,2,2,2,2,2,1,1,0,41326,0,1
1,8,307,2,1,2,3,3,3,3,1,1,0,41326,0,5
1,2,307,1,2,2,2,2,2,2,1,1,1,41401,3,3
2,2,266,2,1,2,1,2,2,2,1,1,0,41401,0,4
1,3,307,1,5,2,2,2,2,2,1,1,0,41327,0,4
1,2,141,3,1,2,2,2,2,2,1,3,50,41326,0,3
2,7,266,2,1,2,1,1,1,1,1,1,0,41326,0,5
1,2,307,2,1,2,2,2,2,2,1,1,0,41326,0,1
1,84,69,2,5,2,2,1,1,2,1,1,0,41326,0,4
1,2,307,2,1,2,1,1,1,2,1,4,0,41326,0,7
1,9,307,1,6,2,1,3,1,2,1,1,0,41326,0,4
1,1,307,2,2,2,2,2,2,2,1,1,0,41327,0,3
1,10,141,2,1,2,2,1,1,2,1,1,0,41326,0,2
1,3,307,3,1,2,1,2,1,2,1,4,0,41326,0,6
1,28,307,2,2,2,1,1,1,1,1,1,0,41326,0,1
1,1,307,2,1,2,1,3,1,2,1,2,0,41326,0,6
2,2,266,1,1,1,1,2,2,2,1,1,0,41401,0,4
2,2,266,2,1,2,2,2,1,2,1,1,0,41326,0,13
2,1,266,1,1,1,1,2,2,2,1,1,0,41361,0,1
1,3,307,2,5,2,1,1,1,2,1,1,0,41326,0,1
2,4,266,2,2,1,1,2,2,2,1,1,0,41326,1,2
1,12,307,3,2,2,2,3,3,3,1,2,0,41401,0,3
2,5,266,2,1,1,1,1,1,3,1,1,0,41336,0,2
2,4,251,3,1,2,1,1,1,2,1,2,0,41401,2,5
1,1,307,1,1,2,1,2,2,1,1,1,0,41336,0,3
1,48,307,1,2,1,1,1,1,1,1,1,0,41326,0,3
1,84,307,1,6,2,2,1,1,1,1,1,100,41326,0,1
1,2,307,2,2,2,1,2,1,2,1,1,0,41326,0,7
1,19,307,3,1,2,1,3,3,3,1,3,0,41401,0,16
1,2,78,2,1,2,1,1,1,2,1,1,0,41326,0,4
1,2,307,1,2,2,1,2,2,2,1,1,0,41326,0,1
1,2,141,1,2,2,2,2,2,2,1,1,0,41401,0,1
1,2,307,2,1,2,1,1,1,2,1,1,0,41326,0,2
1,36,205,2,2,1,3,1,1,3,1,1,0,41335,0,1
1,48,307,1,1,2,2,1,1,1,1,1,0,41336,0,3
2,12,265,2,2,1,2,1,1,1,2,1,0,41326,0,1
2,4,292,2,1,2,2,2,1,1,1,1,50,41401,0,10
2,1,264,2,3,1,3,3,3,3,1,1,0,41326,0,5
2,2,265,2,1,1,2,2,2,2,1,1,0,41326,0,4
2,12,266,2,4,2,1,2,2,1,1,1,0,41326,0,3
1,9,307,1,2,2,1,1,1,1,1,1,0,41326,0,2
2,2,264,3,1,2,2,2,2,2,1,5,50,41326,0,5
1,18,307,1,2,2,2,3,3,3,1,1,0,41326,0,3
1,17,49,2,7,1,1,1,1,2,1,1,0,41326,0,2
2,2,266,2,1,2,1,2,2,2,1,1,170,41326,2,4
1,0,307,1,2,2,1,2,1,2,1,1,0,41326,0,4
2,24,299,1,1,2,1,3,3,1,2,1,0,41401,0,2
1,0,50,1,2,2,1,2,2,2,1,1,0,41401,0,4
2,9,299,2,2,2,1,2,2,2,1,1,0,41326,0,3
1,24,307,1,2,3,1,3,3,3,1,1,0,41401,1,2
1,1,307,2,1,2,2,2,1,2,1,1,0,41326,0,1
2,5,292,1,5,2,1,3,3,2,1,1,250,41326,0,5
2,3,266,1,1,2,1,1,1,2,1,1,0,41401,0,14
1,3,307,2,1,2,1,1,1,2,1,1,0,41401,0,3
1,72,205,2,1,1,3,1,1,1,1,1,0,41326,0,9
2,6,264,3,1,2,2,2,2,2,1,3,0,41401,0,5
1,2,307,1,2,1,1,1,1,2,1,1,0,41326,0,4
1,2,307,3,1,2,1,2,2,2,1,4,0,41401,0,1
1,1,307,2,2,2,1,1,1,2,1,1,0,41326,0,8
1,4,307,2,2,2,1,1,1,2,1,1,0,41326,0,4
2,6,254,2,1,2,1,2,2,2,1,3,0,41326,0,2
2,5,266,2,1,2,1,1,1,2,1,1,0,41326,0,1
1,1,307,1,1,3,1,2,2,2,1,1,0,41326,0,1
1,30,69,2,2,2,2,1,1,1,1,1,350,41336,0,2
2,11,266,2,7,2,1,1,1,1,1,1,0,41326,0,1
2,12,285,1,1,3,2,1,1,1,1,1,200,41326,0,12
2,2,299,1,3,3,2,2,1,2,1,1,0,41326,0,7
2,24,266,2,1,1,1,1,1,1,1,1,0,41326,0,2
1,1,307,3,1,3,2,2,2,2,1,3,0,41326,0,8
1,72,307,2,4,2,2,1,1,1,1,1,0,41326,0,9
1,8,307,2,5,2,1,2,2,2,1,1,20,41327,0,1
1,3,307,2,1,2,2,1,1,2,1,1,0,41326,0,4
1,24,307,1,7,2,2,3,3,3,2,1,20,41324,0,2
2,6,292,1,6,2,1,1,1,2,1,1,0,41326,0,2
1,4,307,2,1,2,1,1,1,2,1,1,100,41326,0,8
2,5,266,1,1,2,1,2,1,1,1,1,0,41326,0,5
2,2,266,2,1,2,2,2,1,2,1,1,0,41401,0,25
1,1,307,2,1,2,1,2,2,2,1,7,0,41336,0,7
1,18,307,2,2,2,2,3,3,3,1,1,0,41401,0,1
1,18,128,2,2,1,1,1,1,2,1,1,0,41401,0,1
1,3,307,2,2,2,2,2,1,2,1,1,0,41326,0,5
2,13,264,2,1,2,3,1,1,2,1,1,0,41326,0,4
1,2,307,1,1,2,1,1,1,2,1,1,200,41326,0,8
2,3,266,2,1,2,1,2,1,2,1,1,0,41326,0,3
1,3,307,2,1,2,1,1,1,2,1,3,0,41401,0,1
2,3,243,3,6,2,2,2,2,2,1,3,0,41401,0,1
1,12,307,2,2,2,1,3,3,1,1,1,0,41401,0,3
2,30,266,1,1,2,2,2,1,1,1,2,0,41326,0,2
1,18,307,2,1,2,1,1,3,1,1,1,0,41327,0,3
1,3,307,2,1,2,2,1,1,2,1,1,0,41326,0,6
1,2,307,1,2,2,1,1,1,2,1,1,0,41326,0,1
1,3,307,2,5,1,1,1,1,2,1,1,0,41326,0,6
1,6,307,2,1,2,2,1,1,1,1,1,0,41326,0,4
1,3,60,3,5,2,1,1,1,2,1,2,0,41326,3,6
1,2,218,2,1,2,1,2,2,2,1,3,0,41326,0,14
1,2,307,2,1,2,3,1,1,2,1,1,0,41326,0,5
1,1,307,2,2,2,2,2,1,2,1,1,0,41330,1,5
1,2,307,2,2,2,2,2,1,2,1,1,0,41327,0,1
2,3,266,2,4,2,2,1,1,2,1,1,120,41326,0,5
2,2,266,1,4,2,1,1,1,2,1,2,0,41326,0,5
2,15,266,1,1,3,1,2,2,2,1,1,50,41401,0,1
2,2,266,2,1,2,1,2,1,2,1,1,50,41326,1,6
2,6,265,1,1,2,2,2,2,2,1,3,0,41326,0,3
1,2,307,2,2,2,2,1,1,2,1,1,0,41326,0,0
1,1,307,2,5,2,1,2,2,2,1,1,0,41326,0,10
1,3,307,2,1,2,2,1,1,2,2,1,0,41326,0,1
1,36,189,1,1,3,1,1,1,1,1,1,0,41326,0,4
1,12,111,2,1,4,1,1,1,2,2,1,0,41401,0,3
2,4,265,2,2,1,2,2,2,2,1,1,0,41326,0,2
1,5,307,2,5,2,1,1,1,2,1,1,50,41326,0,3
2,17,265,1,4,2,2,1,1,1,1,1,0,41326,0,2
1,15,205,2,7,2,3,1,1,2,1,1,0,41326,0,5
2,2,266,1,1,2,1,2,2,2,1,2,0,41336,0,4
2,7,292,2,2,2,1,1,1,3,1,2,0,41326,0,4
2,5,266,2,3,1,1,1,1,2,1,2,10,41401,0,12
1,60,307,1,1,1,2,3,3,3,1,1,0,41326,0,2
2,18,285,2,5,2,3,1,1,2,1,1,500,41324,0,4
1,2,307,2,2,1,1,2,1,3,1,1,0,41336,0,3
1,5,307,2,5,2,1,1,1,1,1,1,0,41401,0,4
2,14,254,2,1,1,1,1,1,1,1,1,0,41326,0,1
2,1,266,3,1,1,1,2,2,2,1,4,0,41326,0,5
2,2,266,2,1,1,1,2,2,2,1,1,0,41326,2,5
2,3,265,2,3,2,2,2,2,2,1,1,0,41326,0,3
1,3,307,1,2,2,1,1,1,2,1,1,0,41326,0,5
1,2,307,2,5,2,2,2,2,2,1,1,0,41326,0,4
1,2,307,2,2,1,1,2,2,2,1,1,0,41332,0,2
1,14,307,2,1,2,1,1,1,1,1,1,0,41401,0,1
1,12,307,2,4,2,1,1,1,1,1,1,0,41327,0,3
2,4,265,1,1,2,2,2,1,2,1,4,0,41326,0,17
2,3,266,1,1,1,1,2,1,2,1,1,0,41326,0,9
1,3,307,3,1,1,1,2,2,2,1,14,0,41401,0,0
2,3,266,1,3,2,1,2,2,2,1,1,0,41327,0,1
1,4,307,2,7,1,2,1,1,2,1,1,0,41326,0,2
1,9,307,2,1,2,1,2,1,1,1,1,0,41326,0,7
2,2,266,1,1,1,1,3,3,3,1,1,0,41326,0,2
2,2,266,2,2,1,1,2,2,2,1,1,0,41326,0,4
1,2,307,2,1,2,1,2,2,2,1,1,0,41326,0,1
1,36,195,2,6,2,2,1,1,2,1,1,0,41326,0,1
2,24,266,2,6,1,1,1,1,1,1,1,100,41327,0,2
1,1,307,1,1,1,1,2,2,2,1,1,0,41326,0,1
1,3,202,2,2,2,2,3,3,3,1,2,0,41326,0,24
1,1,307,3,1,3,1,2,2,2,1,5,50,41326,0,30
1,2,307,1,1,2,1,2,1,2,2,1,0,41336,0,2
2,1,266,1,1,2,1,2,1,2,1,1,0,41401,0,2
1,3,307,1,1,2,2,2,2,2,1,2,0,41401,0,2
1,2,307,2,2,2,1,2,1,2,1,9,0,41326,0,1
2,5,266,3,1,1,1,1,1,2,1,4,0,41401,0,5
1,1,189,2,1,1,1,1,1,2,1,1,50,41330,0,1
2,3,265,1,4,2,2,2,2,2,1,1,50,41326,0,3
1,0,307,1,1,2,2,2,2,2,1,1,0,41326,0,5
1,2,307,1,1,2,2,2,2,2,1,1,0,41401,0,3
1,1,103,1,1,2,2,3,3,2,1,1,0,41326,0,2
1,2,179,1,1,1,2,2,2,2,1,1,450,41326,0,2
1,15,307,2,2,2,2,1,1,1,1,1,0,41326,0,2
2,29,299,1,2,2,1,2,2,2,1,1,0,41326,0,1
2,1,266,2,4,2,1,2,1,2,1,2,0,41401,0,3
1,1,307,1,7,2,1,2,2,2,1,1,0,41401,0,3
2,11,266,1,3,2,1,2,2,2,1,3,50,41326,0,4
1,11,179,2,4,2,2,2,1,2,1,1,0,41327,0,3
1,1,307,2,1,2,2,2,2,2,1,1,0,41326,0,1
2,24,266,2,2,2,1,2,2,1,1,1,0,41326,0,1
1,3,307,2,2,2,1,2,1,2,1,1,0,41326,0,3
1,1,307,2,1,2,2,1,1,2,1,1,0,41326,0,4
1,24,307,1,2,2,1,1,1,1,1,1,0,41401,0,1
2,3,266,2,6,1,1,2,1,2,1,1,0,41401,0,0
2,7,266,2,2,2,1,2,1,1,1,1,0,41326,0,1
1,3,307,1,1,3,1,3,1,3,1,1,50,41401,0,2
2,2,266,2,2,1,1,3,3,3,1,1,0,41401,0,5
2,11,266,2,1,1,1,1,1,1,1,1,0,41401,0,1
1,10,307,1,7,2,1,1,1,1,1,1,300,41326,0,2
1,60,307,1,2,2,2,3,3,3,1,1,0,41401,0,4
2,2,265,1,1,2,2,2,1,2,1,1,50,41326,1,5
2,1,266,2,6,2,1,1,1,3,1,4,0,41330,0,5
2,1,266,1,1,2,1,2,1,2,1,1,0,41326,0,3
1,8,307,1,1,2,2,1,1,1,1,1,0,41330,0,1
1,24,307,2,2,2,1,2,1,2,1,1,1,41325,0,2
2,36,264,1,7,2,3,2,1,2,1,1,150,41326,0,2
1,2,307,2,1,2,1,3,3,2,1,1,0,41326,0,3
1,3,307,2,2,2,2,1,1,2,1,1,0,41326,0,7
2,5,306,1,1,1,2,2,2,2,1,2,0,41326,1,4
2,1,266,1,1,2,1,2,2,2,1,1,0,41332,0,2
1,11,307,1,5,2,1,1,1,1,1,1,0,41326,0,2
2,8,265,2,4,2,2,2,1,2,1,1,20,41401,0,4
1,24,109,2,3,2,1,1,1,1,1,1,0,41326,0,3
1,3,307,1,2,2,2,1,1,3,1,1,0,41324,0,1
2,3,265,2,1,2,2,2,2,2,1,1,0,41401,0,1
1,84,103,2,1,2,1,1,1,1,1,1,0,41326,0,1
2,17,266,3,1,2,2,2,3,1,1,15,0,41401,0,2
1,36,218,2,1,1,3,1,1,1,1,1,0,41326,0,2
2,1,265,2,1,1,1,2,2,2,1,1,0,41326,0,3
1,30,152,2,1,1,1,1,3,2,1,1,50,41326,0,3
2,3,265,2,1,1,2,2,2,2,1,1,0,41401,0,1
2,1,266,1,1,2,1,3,3,3,1,1,0,41401,0,3
1,6,307,2,1,2,1,1,1,1,1,1,0,41326,0,1
1,1,307,1,2,2,2,2,1,2,1,1,38,41326,0,17
1,2,307,2,2,1,1,3,3,3,1,1,0,41326,0,1
2,1,266,2,1,2,1,2,1,2,1,1,0,41326,0,7
2,5,266,2,3,1,1,2,2,2,1,1,0,41401,0,1
1,2,307,1,1,3,1,2,1,3,1,1,0,41401,0,1
2,2,306,1,1,2,2,2,1,3,1,1,0,41326,0,1
1,8,307,1,4,3,1,1,1,1,1,1,80,41326,0,2
2,4,266,3,4,2,1,2,1,2,1,3,0,41326,0,3
1,36,179,1,3,1,2,1,1,1,1,1,0,41401,0,2
1,2,307,2,1,2,1,1,1,2,1,1,0,41401,0,2
1,2,307,1,2,2,1,2,2,2,1,1,0,41326,0,2
1,60,195,1,6,1,1,3,3,2,1,1,0,41326,0,0
1,3,307,1,1,1,2,1,3,3,1,2,0,41326,0,4
1,2,307,1,1,2,2,1,1,2,1,1,0,41326,0,2
1,1,307,2,1,2,1,2,2,2,1,6,0,41326,0,5
2,2,292,2,2,1,2,2,2,2,1,1,0,41401,0,5
1,2,307,1,1,2,1,1,1,2,1,1,0,41401,0,3
1,8,307,1,2,2,1,1,1,1,1,1,0,41401,0,12
1,2,307,3,2,2,1,1,1,2,1,2,0,41330,1,10
1,1,307,1,1,2,2,2,2,2,1,1,0,41327,0,1
1,1,307,1,5,2,1,2,2,2,1,1,0,41326,0,9
2,1,266,2,1,1,1,2,2,1,1,1,0,41326,0,6
2,17,265,1,7,2,2,1,1,2,2,1,50,41336,0,3
2,4,265,2,3,2,2,1,1,2,1,2,0,41326,0,5
2,2,266,1,1,2,1,2,2,2,1,1,0,41326,0,2
2,1,283,1,3,1,1,2,2,2,1,1,0,41401,0,1
1,12,205,1,1,1,2,3,3,1,1,1,0,41326,0,0
1,3,103,2,1,2,2,3,3,2,1,1,0,41326,0,3
2,5,266,1,3,1,1,2,2,2,1,1,0,41326,0,7
1,4,307,2,2,2,1,1,1,2,1,1,0,41326,0,3
2,1,250,1,1,2,2,2,1,2,1,2,0,41401,0,17
1,1,307,2,7,2,1,2,1,2,1,1,0,41401,0,5
2,2,292,1,2,2,2,2,1,2,1,1,50,41326,2,6
1,2,307,1,1,2,2,2,2,2,1,2,0,41326,0,19
1,12,307,2,2,1,1,1,1,1,1,1,0,41326,0,3
2,4,266,1,1,2,1,2,2,2,1,1,0,41326,0,2
1,2,307,2,2,1,1,3,3,3,1,1,0,41326,0,2
1,60,205,1,2,1,3,1,1,1,1,1,100,41326,0,1
1,48,103,2,1,3,1,1,1,1,1,1,0,41326,0,2
1,1,307,2,1,2,1,2,2,2,1,1,0,41401,0,1
2,24,266,3,4,1,1,2,1,2,1,3,0,41335,0,11
1,26,119,2,2,2,3,1,1,3,1,1,0,41326,0,4
1,4,307,2,1,2,1,1,1,1,1,1,0,41330,0,11
2,2,266,3,1,1,2,2,2,2,1,2,0,41326,0,2
2,12,266,2,2,3,2,1,1,2,1,2,0,41326,0,2
1,2,78,2,1,2,1,1,1,2,1,1,0,41326,0,3
2,3,265,1,3,2,2,1,1,3,1,1,0,41326,0,3
2,4,299,2,1,1,2,2,2,2,1,1,0,41326,0,4
1,2,307,1,1,2,2,2,2,2,1,3,50,41326,0,1
2,1,265,3,1,2,1,2,2,2,1,5,0,41336,0,3
1,6,307,2,2,2,1,2,1,2,1,1,0,41327,0,2
2,12,306,1,1,2,2,1,1,2,1,1,0,41401,0,3
2,2,266,1,1,2,1,2,2,2,1,2,0,41326,0,4
2,1,254,2,1,3,2,2,2,2,1,1,0,41326,0,4
2,33,266,2,2,2,1,1,1,1,1,1,80,41401,0,5
2,4,265,1,6,2,2,2,2,2,1,1,0,41326,0,2
2,3,283,2,1,2,2,2,1,3,1,1,50,41401,0,3
2,3,266,3,5,2,1,2,2,2,1,4,0,41332,0,4
2,2,271,3,1,1,1,2,1,2,1,3,0,41401,0,11
2,2,265,1,6,2,2,2,1,2,1,1,50,41326,0,11
2,0,266,3,1,3,1,2,2,2,1,6,0,41401,0,2
2,12,266,1,2,2,2,1,1,1,1,1,0,41327,0,5
2,18,285,1,2,3,3,1,1,2,1,1,500,41324,0,3
1,3,307,1,2,2,2,1,3,3,1,1,0,41326,0,0
1,4,307,1,1,2,1,3,3,3,1,1,0,41326,0,2
1,36,307,1,1,2,1,2,2,1,1,1,0,41326,0,5
1,28,215,1,2,3,2,1,1,2,1,1,0,41326,0,3
1,9,307,2,3,2,1,1,1,1,1,2,0,41330,0,3
1,1,307,3,1,1,2,1,1,2,1,4,0,41401,0,14
2,8,266,1,6,2,2,1,1,2,1,1,150,41401,0,3
2,61,266,1,7,3,1,1,1,1,1,1,0,41401,1,6
1,24,307,2,3,2,2,1,1,1,1,1,180,41326,1,8
2,9,265,3,1,2,2,2,3,3,1,2,0,41330,0,3
1,14,307,1,1,2,1,1,1,2,1,1,0,41326,0,3
1,2,187,2,2,2,1,2,2,2,1,1,0,41401,0,2
1,5,78,2,1,2,2,1,1,1,1,1,0,41326,0,5
1,3,307,2,2,2,1,1,1,2,1,1,0,41326,0,9
2,12,266,2,6,1,1,1,1,1,1,1,100,41326,0,2
2,2,265,1,1,2,2,2,1,2,1,1,0,41326,0,6
1,2,307,2,1,2,1,2,1,2,1,1,5,41327,0,1
1,4,307,2,1,1,1,2,1,2,1,1,0,41326,1,2
2,8,266,2,7,1,1,2,2,2,1,1,0,41401,1,13
1,1,307,1,2,2,1,1,1,2,1,1,0,41326,0,1
1,3,307,2,1,2,2,2,2,2,1,1,150,41327,0,3
1,5,307,1,3,2,1,1,1,2,1,1,0,41326,0,2
1,15,307,1,1,2,1,1,1,1,1,1,0,41326,0,1
1,18,307,2,2,1,1,1,1,2,1,1,0,41326,0,5
2,2,299,3,1,1,1,1,1,2,1,2,0,41401,0,4
2,12,266,2,1,1,1,1,1,1,1,1,0,41326,0,7
1,4,307,1,2,2,1,1,1,2,1,1,0,41326,0,5
1,24,205,2,1,1,3,1,1,2,1,1,1000,41401,0,2
1,36,179,2,5,2,2,1,3,1,1,1,0,41324,0,2
1,1,307,1,2,2,2,2,2,2,1,1,0,41327,0,6
1,1,307,3,1,2,1,2,2,2,1,6,0,41326,0,5
1,24,307,2,2,3,1,2,2,1,1,2,0,41326,0,1
2,12,266,2,1,2,2,3,3,3,2,1,0,41401,0,0
2,3,264,1,3,1,2,2,1,2,1,1,0,41326,0,5
1,8,307,2,7,2,2,1,1,1,1,1,0,41401,0,3
1,3,307,1,5,2,1,2,1,2,1,1,0,41336,0,3
1,26,128,2,2,2,1,1,1,1,1,1,0,41326,1,5
1,1,307,1,2,2,1,2,2,2,1,1,0,41332,0,1
1,36,103,1,1,3,2,1,1,1,1,1,0,41330,0,1
2,12,266,2,2,1,1,1,1,1,1,1,0,41401,0,5
2,1,266,2,1,2,1,2,1,2,1,1,0,41326,0,7
2,2,265,1,2,2,2,2,2,2,1,1,0,41326,0,1
2,11,266,1,3,2,1,1,1,1,1,1,0,41326,0,3
1,12,307,1,2,2,2,1,1,1,1,1,0,41326,0,1
2,12,266,1,1,3,2,1,1,2,1,1,0,41326,0,1
2,1,265,3,1,2,2,2,2,2,1,4,0,41324,0,10
2,1,266,2,4,2,1,2,2,2,1,2,0,41326,0,3
1,3,218,1,1,3,3,1,1,2,1,1,0,41401,0,1
2,1,265,3,1,2,2,2,2,2,1,3,0,41401,0,13
1,1,307,2,4,2,2,2,2,2,1,2,0,41401,2,6
1,12,307,1,1,2,1,1,1,1,1,1,0,41326,0,3
2,36,266,2,1,2,2,1,1,1,1,1,0,41332,0,4
1,3,307,2,1,2,2,1,1,2,1,1,0,41326,0,7
1,19,307,2,1,2,1,1,1,2,1,1,100,41326,0,3
1,2,50,3,1,2,1,2,2,2,1,6,0,41327,0,2
1,1,307,3,1,2,1,2,2,2,1,2,0,41327,0,1
1,39,307,1,1,2,1,1,1,2,1,1,0,41326,0,5
1,5,179,1,2,1,2,1,1,2,1,1,0,41326,0,1
1,2,307,2,2,2,1,2,2,2,1,1,0,41326,0,2
1,2,307,3,2,2,2,3,3,3,1,5,0,41326,0,4
1,12,307,1,2,2,1,3,3,3,1,1,0,41336,0,2
1,12,179,1,5,1,2,2,2,2,1,1,0,41326,0,3
1,2,307,2,1,2,2,2,2,2,1,1,0,41336,0,1
2,2,265,2,1,1,2,2,2,2,1,1,0,41326,0,1
2,5,266,2,1,1,1,2,1,2,1,1,0,41401,0,3
2,7,249,3,1,2,1,2,2,2,1,5,0,41326,0,4
2,3,266,2,1,2,1,2,2,2,1,3,0,41326,0,6
1,1,307,1,1,2,2,2,1,2,1,1,0,41326,0,3
1,2,307,2,1,2,2,2,2,2,1,1,20,41327,0,1
2,12,266,2,7,1,1,3,3,3,1,1,0,41401,0,1
2,20,299,1,1,2,1,1,1,1,1,1,0,41327,0,3
2,2,266,3,2,1,1,2,2,2,1,2,0,41327,1,8
2,1,299,3,1,1,1,3,3,3,1,3,0,41326,0,3
2,9,266,2,5,2,1,2,1,2,1,1,0,41401,0,4
1,3,307,1,5,2,1,1,1,2,1,1,0,41401,0,4
1,8,307,2,5,2,2,3,3,3,1,1,0,41326,0,3
1,2,307,2,1,2,1,1,1,2,1,1,0,41326,0,5
2,4,266,1,2,1,1,2,2,2,1,1,0,41326,0,4
1,1,307,2,2,2,1,1,1,1,1,1,0,41326,0,1
1,4,141,1,1,2,1,1,1,1,1,1,0,41326,0,11
2,1,241,2,5,1,1,3,1,3,1,1,20,41326,0,4
1,3,307,2,1,2,1,2,2,3,1,2,0,41326,0,2
2,5,266,2,1,2,1,2,2,2,1,1,0,41326,0,2
2,12,266,1,1,3,1,1,1,1,1,1,0,41401,0,2
1,7,44,2,2,2,1,3,3,3,1,1,0,41326,0,2
2,6,266,1,7,2,1,1,1,2,1,1,0,41326,0,1
1,2,307,1,1,2,1,2,1,2,1,1,0,41326,0,1
2,3,266,1,1,2,1,2,1,2,1,1,0,41336,0,10
1,1,307,2,1,2,1,2,2,2,1,2,0,41327,0,3
2,0,266,3,1,2,1,3,1,1,1,18,0,41326,0,21
2,48,266,1,1,2,1,2,1,1,1,2,0,41326,0,6
1,53,307,1,2,2,2,1,1,2,1,1,0,41326,0,5
2,2,264,1,1,2,2,2,2,2,1,1,0,41401,0,3
1,5,109,2,5,2,2,3,3,3,1,1,0,41401,0,6
1,60,205,2,1,1,2,3,1,1,1,1,0,41326,0,1
2,6,265,3,1,2,2,1,1,2,1,3,0,41401,0,7
1,3,307,2,1,2,1,1,1,2,1,1,0,41326,0,13
1,24,179,1,5,1,1,1,1,3,1,1,600,41326,0,3
2,3,285,2,1,2,2,2,2,2,1,3,0,41401,0,3
2,5,265,2,6,2,2,2,2,2,1,1,0,41326,0,3
2,4,299,1,4,2,1,1,1,3,1,1,0,41326,0,2
2,4,266,3,2,1,1,2,1,2,1,5,0,41326,0,9
2,12,266,3,1,1,1,2,2,2,1,3,0,41326,0,14
1,3,200,3,1,2,1,3,3,2,1,4,0,41401,0,2
1,1,307,2,7,1,1,2,1,2,1,2,0,41326,0,2
2,28,266,1,3,2,1,2,2,2,1,1,0,41401,0,5
2,1,266,3,2,1,1,2,2,2,1,2,0,41332,2,12
2,3,266,2,1,2,1,2,1,2,1,1,0,41326,0,2
1,36,307,1,6,1,2,3,3,1,1,2,0,41326,0,6
2,24,295,3,1,2,2,3,3,3,1,5,0,41336,0,0
2,3,285,1,5,1,3,2,1,2,1,1,300,41326,0,4
2,2,266,1,3,2,1,2,2,2,1,1,0,41326,0,2
2,55,265,2,2,3,2,1,1,1,1,1,150,41327,0,5
2,1,264,2,1,1,3,2,2,2,1,1,0,41325,0,2
1,84,109,2,1,2,2,1,1,2,1,1,0,41326,0,1
1,2,307,3,1,2,1,3,3,3,1,8,0,41401,0,5
2,2,266,2,1,1,1,1,1,2,1,1,0,41401,0,1
1,2,307,1,1,2,1,2,2,2,1,1,0,41326,0,2
1,2,307,2,3,3,2,2,2,2,1,6,0,41336,0,5
2,2,265,3,5,2,2,2,2,2,1,3,0,41330,0,4
2,5,299,1,1,2,1,1,1,2,1,1,0,41401,0,5
1,3,307,1,1,2,1,2,2,2,1,1,0,41326,0,5
1,1,307,2,2,2,2,2,1,2,1,1,0,41326,0,3
2,1,285,3,4,1,2,2,1,2,1,4,200,41326,0,11
